neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
LOWA,BIRD,True,94830,Parkesia motacilla,,Parkesia motacilla,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Parulidae,,,,Parkesia,,,,Parkesia motacilla,,,,,,,
LRPL,BIRD,True,93471,Charadrius dubius,,Charadrius dubius,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Charadriidae,,,,Charadrius,,,,Charadrius dubius,,,,,,,
LSAP,BIRD,True,93475,Charadrius mongolus,,Charadrius mongolus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Charadriidae,,,,Charadrius,,,,Charadrius mongolus,,,,,,,
LSFL,BIRD,True,94616,Myiarchus sagrae,,Myiarchus sagrae,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Tyrannidae,,,,Myiarchus,,,,Myiarchus sagrae,,,,,,,
LSTA,BIRD,True,93538,Chlorothraupis olivacea,,Chlorothraupis olivacea,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Cardinalidae,,,,Chlorothraupis,,,,Chlorothraupis olivacea,,,,,,,
LSTH,BIRD,True,95708,Turdus swalesi,,Turdus swalesi,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Turdidae,,,,Turdus,,,,Turdus swalesi,,,,,,,
LSTP,BIRD,True,94736,Oceanodroma microsoma,,Oceanodroma microsoma,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Procellariiformes,,,Hydrobatidae,,,,Oceanodroma,,,,Oceanodroma microsoma,,,,,,,
LSTS,BIRD,True,94823,Panyptila cayennensis,,Panyptila cayennensis,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Apodiformes,,,Apodidae,,,,Panyptila,,,,Panyptila cayennensis,,,,,,,
LTDU,BIRD,True,93580,Clangula hyemalis,,Clangula hyemalis,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Anseriformes,,,Anatidae,,,,Clangula,,,,Clangula hyemalis,,,,,,,
LTJA,BIRD,True,95460,Stercorarius longicaudus,,Stercorarius longicaudus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Stercorariidae,,,,Stercorarius,,,,Stercorarius longicaudus,,,,,,,
LTSA,BIRD,True,93340,Campylopterus excellens,,Campylopterus excellens,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Apodiformes,,,Trochilidae,,,,Campylopterus,,,,Campylopterus excellens,,,,,,,
LTST,BIRD,True,93297,Calidris subminuta,,Calidris subminuta,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Scolopacidae,,,,Calidris,,,,Calidris subminuta,,,,,,,
LTTR,BIRD,True,95677,Trogon clathratus,,Trogon clathratus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Trogoniformes,,,Trogonidae,,,,Trogon,,,,Trogon clathratus,,,,,,,
LTTY,BIRD,True,93622,Colonia colonus,,Colonia colonus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Tyrannidae,,,,Colonia,,,,Colonia colonus,,,,,,,
LTWO,BIRD,True,93765,Deconychura longicauda,,Deconychura longicauda,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Furnariidae,,,,Deconychura,,,,Deconychura longicauda,,,,,,,
LTWP,BIRD,True,93790,Dendrortyx macroura,,Dendrortyx macroura,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Galliformes,,,Odontophoridae,,,,Dendrortyx,,,,Dendrortyx macroura,,,,,,,
LUHU,BIRD,True,93318,Calothorax lucifer,,Calothorax lucifer,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Apodiformes,,,Trochilidae,,,,Calothorax,,,,Calothorax lucifer,,,,,,,
LWFG,BIRD,True,93071,Anser erythropus,,Anser erythropus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Anseriformes,,,Anatidae,,,,Anser,,,,Anser erythropus,,,,,,,
LWHA,BIRD,True,93572,Circus buffoni,,Circus buffoni,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Accipitriformes,,,Accipitridae,,,,Circus,,,,Circus buffoni,,,,,,,
LYHV,BIRD,True,93404,Cathartes burrovianus,,Cathartes burrovianus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Accipitriformes,,,Cathartidae,,,,Cathartes,,,,Cathartes burrovianus,,,,,,,
MAAK,BIRD,True,94411,Loxops ochraceus,,Loxops ochraceus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Loxops,,,,Loxops ochraceus,,,,,,,
MAAL,BIRD,True,94838,Paroreomyza montana,,Paroreomyza montana,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Paroreomyza,,,,Paroreomyza montana,,,,,,,
MABO,BIRD,True,95499,Sula dactylatra,,Sula dactylatra,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Suliformes,,,Sulidae,,,,Sula,,,,Sula dactylatra,,,,,,,
MACU,BIRD,True,93603,Coccyzus minor,,Coccyzus minor,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Cuculiformes,,,Cuculidae,,,,Coccyzus,,,,Coccyzus minor,,,,,,,
MADU,BIRD,True,94684,Nomonyx dominicus,,Nomonyx dominicus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Anseriformes,,,Anatidae,,,,Nomonyx,,,,Nomonyx dominicus,,,,,,,
MAFR,BIRD,True,94000,Fregata magnificens,,Fregata magnificens,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Suliformes,,,Fregatidae,,,,Fregata,,,,Fregata magnificens,,,,,,,
MAGO,BIRD,True,94361,Limosa fedoa,,Limosa fedoa,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Scolopacidae,,,,Limosa,,,,Limosa fedoa,,,,,,,
MAHU,BIRD,True,93907,Eugenes fulgens,,Eugenes fulgens,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Apodiformes,,,Trochilidae,,,,Eugenes,,,,Eugenes fulgens,,,,,,,
MALL,BIRD,True,93049,Anas platyrhynchos,,Anas platyrhynchos,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Anseriformes,,,Anatidae,,,,Anas,,,,Anas platyrhynchos,,,,,,,
MAMU,BIRD,True,93218,Brachyramphus marmoratus,,Brachyramphus marmoratus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Alcidae,,,,Brachyramphus,,,,Brachyramphus marmoratus,,,,,,,
MANH,BIRD,True,92988,Amazilia boucardi,,Amazilia boucardi,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Apodiformes,,,Trochilidae,,,,Amazilia,,,,Amazilia boucardi,,,,,,,
MANS,BIRD,True,95526,Tachycineta albilinea,,Tachycineta albilinea,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Hirundinidae,,,,Tachycineta,,,,Tachycineta albilinea,,,,,,,
MANU,BIRD,True,94157,Hemignathus affinis,,Hemignathus affinis,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Hemignathus,,,,Hemignathus affinis,,,,,,,
