neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
EUPPRO1,MACROINVERTEBRATE,True,102415,Euparyphus proxipalus,,Euparyphus proxipalus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Stratiomyidae,,,,Euparyphus,,,,Euparyphus proxipalus,,,,,,,
EUPPYG,MACROINVERTEBRATE,True,102416,Euparyphus pygmaea,,Euparyphus pygmaea,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Stratiomyidae,,,,Euparyphus,,,,Euparyphus pygmaea,,,,,,,
EUPROT,MACROINVERTEBRATE,True,102417,Euparyphus rothi,,Euparyphus rothi,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Stratiomyidae,,,,Euparyphus,,,,Euparyphus rothi,,,,,,,
EUPSAB,MACROINVERTEBRATE,True,102418,Euparyphus sabroskyi,,Euparyphus sabroskyi,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Stratiomyidae,,,,Euparyphus,,,,Euparyphus sabroskyi,,,,,,,
EUPSP,MACROINVERTEBRATE,True,102424,Euphausiacea,Subgenus,Euphausiacea sp.,Organism,Animalia,,Arthropoda,,,Malacostraca,,Euphausiacea,,,,,,,,,,,,,,,,,,
EUPSP1,MACROINVERTEBRATE,True,102431,Euphrosinidae,Class,Euphrosinidae sp.,Organism,Animalia,,Annelida,,,Polychaeta,,Amphinomida,,,Euphrosinidae,,,,,,,,,,,,,,,
EUPSP10,MACROINVERTEBRATE,True,102432,Euphysa,,Euphysa sp.,Organism,Animalia,,Cnidaria,,,Hydrozoa,,Anthoathecata,,,Corymorphidae,,,,Euphysa,,,,,,,,,,,
EUPSP11,MACROINVERTEBRATE,True,102434,Euplana,,Euplana sp.,Organism,Animalia,,Platyhelminthes,,,Rhabditophora,,Polycladida,,,Euplanidae,,,,Euplana,,,,,,,,,,,
EUPSP2,MACROINVERTEBRATE,True,86416,Eupelmidae,Class,Eupelmidae sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Hymenoptera,,Chalcidoidea,Eupelmidae,,,,,,,,,,,,,,,
EUPSP3,MACROINVERTEBRATE,True,102433,Euplanidae,Class,Euplanidae sp.,Organism,Animalia,,Platyhelminthes,,,Rhabditophora,,Polycladida,,,Euplanidae,,,,,,,,,,,,,,,
