acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
BLAKIP,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Arthropoda,Blackburnia kipahulu,Zimmerman and Liebherr,kipahulu,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLAKIP,target,BEETLE
BLAKOE,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia koebelei,Sharp,koebelei,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAKOE,target,BEETLE
BLAKOM,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia komohana,Leibherr,komohana,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLAKOM,target,BEETLE
BLAKUI,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Arthropoda,Blackburnia kuiki,Liebherr and Zimmerman,kuiki,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLAKUI,target,BEETLE
BLAKUK,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Arthropoda,Blackburnia kukui,Zimmerman and Liebherr,kukui,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLAKUK,target,BEETLE
BLALAN1,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia lanaiensis,Sharp,lanaiensis,Colpocaccus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLALAN1,target,BEETLE
BLALAN2,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia lanaihalensis,Liebherr,lanaihalensis,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLALAN2,target,BEETLE
BLALAT1,Insecta,Carabidae,Blackburnia,,Animalia,doi: 10.1163/187631203788964953,"Liebherr, J. K. 2003. Blackburnia lata sp. n. (Coleoptera: Carabidae) from Kauai: morphological transformation in the arboreal microhabitat. Insect Systematics and Evolution 34:41-52.",Coleoptera,Arthropoda,Blackburnia lata,Liebherr,lata,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLALAT1,target,BEETLE
BLALAT2,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia latifrons,Sharp,latifrons,Metromenus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLALAT2,target,BEETLE
BLALEN,Insecta,Carabidae,Blackburnia,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Blackburnia lenta,Sharp,lenta,Blackburnia,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Platynini,,,BLALEN,target,BEETLE
