neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
IXOTEX,TICK,True,133735,Ixodes texanus,,Ixodes texanus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Ixodes,,,,Ixodes texanus,,,,,,,
IXOTOV,TICK,True,104333,Ixodes tovari,,Ixodes tovari,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Ixodes,,,,Ixodes tovari,,,,,,,
IXOURI,TICK,True,100060,Ixodes uriae,,Ixodes uriae,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Ixodes,,,,Ixodes uriae,,,,,,,
IXOWOO,TICK,True,104334,Ixodes woodi,,Ixodes woodi,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Ixodes,,,,Ixodes woodi,,,,,,,
ORNERE,TICK,True,134505,Ornithodoros eremicus,,Ornithodoros eremicus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Ornithodoros,,,,Ornithodoros eremicus,,,,,,,
ORNHER,TICK,True,132279,Ornithodoros hermsi,,Ornithodoros hermsi,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Ornithodoros,,,,Ornithodoros hermsi,,,,,,,
ORNKNO,TICK,True,134507,Ornithodoros knoxjonesi,,Ornithodoros knoxjonesi,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Ornithodoros,,,,Ornithodoros knoxjonesi,,,,,,,
ORNPAR,TICK,True,107128,Ornithodoros parkeri,,Ornithodoros parkeri,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Ornithodoros,,,,Ornithodoros parkeri,,,,,,,
ORNSP,TICK,True,107127,Ornithodoros,,Ornithodoros sp.,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Ornithodoros,,,,,,,,,,,
OTOLAG,TICK,True,134508,Otobius lagophilus,,Otobius lagophilus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Otobius,,,,Otobius lagophilus,,,,,,,
OTOSP1,TICK,True,107203,Otobius,,Otobius sp.,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Otobius,,,,,,,,,,,
RHIANN,TICK,True,99409,Rhipicephalus annulatus,,Rhipicephalus annulatus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Rhipicephalus,,,,Rhipicephalus annulatus,,,,,,,
RHIMIC,TICK,True,99414,Rhipicephalus microplus,,Rhipicephalus microplus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Rhipicephalus,,,,Rhipicephalus microplus,,,,,,,
RHISAN,TICK,True,102441,Rhipicephalus sanguineus,,Rhipicephalus sanguineus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Rhipicephalus,,,,Rhipicephalus sanguineus,,,,,,,
RHISP,TICK,True,99408,Rhipicephalus,,Rhipicephalus sp.,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Rhipicephalus,,,,,,,,,,,
