acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
COTSPP1,Actinopterygii,Cottidae,,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=167196 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=167196, accessed 31 Aug 2017",Scorpaeniformes,Chordata,Cottidae spp.,,spp.,,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTSPP1,target,FISH
COTTAL,Actinopterygii,Cottidae,Cottus,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Scorpaeniformes,Chordata,Cottus tallapoosae,"Neely, Williams & Mayden",tallapoosae,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTAL,target,FISH
COTTEN,Actinopterygii,Cottidae,Cottus,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Scorpaeniformes,Chordata,Cottus tenuis,(Evermann & Meek),tenuis,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTEN,target,FISH
COUPLU,Actinopterygii,Cyprinidae,Couesius,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cypriniformes,Chordata,Couesius plumbeus,(Agassiz),plumbeus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUPLU,target,FISH
COUSP,Actinopterygii,Cyprinidae,Couesius,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163534 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=163534, accessed 31 Aug 2017",Cypriniformes,Chordata,Couesius sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUSP,target,FISH
CREBAI,Actinopterygii,Goodeidae,Crenichthys,albivallis,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cyprinodontiformes,Chordata,Crenichthys baileyi albivallis,Williams & Wilde,baileyi,,subspecies,,,,,,,,,,,,,,,,,,,albivallis,,,,,,,,,,,CREBAI,target,FISH
CREBAI1,Actinopterygii,Goodeidae,Crenichthys,baileyi,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cyprinodontiformes,Chordata,Crenichthys baileyi baileyi,(Gilbert),baileyi,,subspecies,,,,,,,,,,,,,,,,,,,baileyi,,,,,,,,,,,CREBAI1,target,FISH
CREBAI2,Actinopterygii,Goodeidae,Crenichthys,grandis,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cyprinodontiformes,Chordata,Crenichthys baileyi grandis,Williams & Wilde,baileyi,,subspecies,,,,,,,,,,,,,,,,,,,grandis,,,,,,,,,,,CREBAI2,target,FISH
CREBAI3,Actinopterygii,Goodeidae,Crenichthys,moapae,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cyprinodontiformes,Chordata,Crenichthys baileyi moapae,Williams & Wilde,baileyi,,subspecies,,,,,,,,,,,,,,,,,,,moapae,,,,,,,,,,,CREBAI3,target,FISH
CREBAI4,Actinopterygii,Goodeidae,Crenichthys,thermophilus,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Cyprinodontiformes,Chordata,Crenichthys baileyi thermophilus,Williams & Wilde,baileyi,,subspecies,,,,,,,,,,,,,,,,,,,thermophilus,,,,,,,,,,,CREBAI4,target,FISH
