acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
PSOLON,Insecta,Culicidae,Psorophora,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Psorophora longipalpus,"Randolph and O'Neill, 1944",longipalpus,Janthinosoma,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,PSOLON,target,MOSQUITO
PSOMAT,Insecta,Culicidae,Psorophora,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Psorophora mathesoni,"Belkin and Heinemann, 1975",mathesoni,Janthinosoma,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,PSOMAT,target,MOSQUITO
PSOMEX,Insecta,Culicidae,Psorophora,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Psorophora mexicana,"(Bellardi, 1859)",mexicana,Janthinosoma,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,PSOMEX,target,MOSQUITO
PSOPYG,Insecta,Culicidae,Psorophora,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Psorophora pygmaea,"(Theobald, 1903)",pygmaea,Grabhamia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,PSOPYG,target,MOSQUITO
PSOSIG,Insecta,Culicidae,Psorophora,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Psorophora signipennis,"(Coquillett, 1904)",signipennis,Grabhamia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,PSOSIG,target,MOSQUITO
PSOSPP,Insecta,Culicidae,Psorophora,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Psorophora sp.,"Robineau-Desoidy, 1827",sp.,,genus,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,PSOSPP,target,MOSQUITO
PSOTOL,Insecta,Culicidae,Psorophora,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Psorophora tolteca,"(Dyar and Knab, 1906)",tolteca,Grabhamia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,PSOTOL,target,MOSQUITO
PSOVAR,Insecta,Culicidae,Psorophora,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Psorophora varipes,"(Coquillett, 1904)",varipes,Janthinosoma,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,PSOVAR,target,MOSQUITO
SABSPP,Insecta,Culicidae,,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Sabethini sp.,"Blanchard, 1905",sp.,,tribe,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Sabethini,,,SABSPP,target,MOSQUITO
TOXAMB,Insecta,Culicidae,Toxorhynchites,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchites amboinensis,"(Doleschall, 1857)",amboinensis,Toxorhynchites,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Toxorhynchitini,,,TOXAMB,target,MOSQUITO
TOXBRE,Insecta,Culicidae,Toxorhynchites,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchites brevipalpis,"Theobald, 1901",brevipalpis,Toxorhynchites,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Toxorhynchitini,,,TOXBRE,target,MOSQUITO
TOXMOC,Insecta,Culicidae,Toxorhynchites,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchites moctezuma,"(Dyar and Knab, 1906)",moctezuma,Lynchiella,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Toxorhynchitini,,,TOXMOC,target,MOSQUITO
TOXPOR,Insecta,Culicidae,Toxorhynchites,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchites portoricensis,"(Roeder, 1885)",portoricensis,Lynchiella,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Toxorhynchitini,,,TOXPOR,target,MOSQUITO
TOXRUT,Insecta,Culicidae,Toxorhynchites,septentrionalis,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchites rutilus septentrionalis,"(Dyar and Knab, 1906)",rutilus,Lynchiella,subspecies,,,,,,,,,,,,,Culicinae,,,,,,,Toxorhynchites,,,,,,,Toxorhynchitini,,,TOXRUT,target,MOSQUITO
TOXRUT1,Insecta,Culicidae,Toxorhynchites,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchites rutilus,"(Coquillett, 1896)",rutilus,Lynchiella,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Toxorhynchitini,,,TOXRUT1,target,MOSQUITO
TOXRUT2,Insecta,Culicidae,Toxorhynchites,rutilus,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Toxorhynchites rutilus rutilus,"(Coquillett, 1896)",rutilus,Lynchiella,subspecies,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Toxorhynchitini,,,TOXRUT2,target,MOSQUITO
