neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
PSOJOH,MOSQUITO,True,81291,Psorophora johnstonii,,Psorophora johnstonii,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Psorophora,,,,Psorophora johnstonii,,,,,,,
PSOLON,MOSQUITO,True,81335,Psorophora longipalpus,,Psorophora longipalpus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Psorophora,,,,Psorophora longipalpus,,,,,,,
PSOMAT,MOSQUITO,True,81338,Psorophora mathesoni,,Psorophora mathesoni,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Psorophora,,,,Psorophora mathesoni,,,,,,,
PSOMEX,MOSQUITO,True,81339,Psorophora mexicana,,Psorophora mexicana,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Psorophora,,,,Psorophora mexicana,,,,,,,
PSOPYG,MOSQUITO,True,81160,Psorophora pygmaea,,Psorophora pygmaea,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Psorophora,,,,Psorophora pygmaea,,,,,,,
PSOSIG,MOSQUITO,True,81341,Psorophora signipennis,,Psorophora signipennis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Psorophora,,,,Psorophora signipennis,,,,,,,
PSOSP,MOSQUITO,True,80870,Psorophora,,Psorophora spp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Psorophora,,,,,,,,,,,
PSOTOL,MOSQUITO,True,148788,Psorophora tolteca,,Psorophora tolteca,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Psorophora,,,,Psorophora tolteca,,,,,,,
PSOVAR,MOSQUITO,True,134868,Psorophora varipes,,Psorophora varipes,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Psorophora,Psorophora (Janthinosoma),,,Psorophora varipes,,,,,,,
SABSP,MOSQUITO,True,89976,Sabethini,soilGreatGroup,Sabethini spp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,Culicinae,Sabethini,,,,,,,,,,,,,
TOXAMB,MOSQUITO,True,81225,Toxorhynchites amboinensis,,Toxorhynchites amboinensis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Toxorhynchites,,,,Toxorhynchites amboinensis,,,,,,,
TOXBRE,MOSQUITO,True,81360,Toxorhynchites brevipalpis,,Toxorhynchites brevipalpis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Toxorhynchites,,,,Toxorhynchites brevipalpis,,,,,,,
TOXMOC,MOSQUITO,True,86089,Toxorhynchites moctezuma,,Toxorhynchites moctezuma,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Toxorhynchites,,,,Toxorhynchites moctezuma,,,,,,,
TOXPOR,MOSQUITO,True,81363,Toxorhynchites portoricensis,,Toxorhynchites portoricensis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Toxorhynchites,,,,Toxorhynchites portoricensis,,,,,,,
TOXRUT,MOSQUITO,True,89969,Toxorhynchites rutilus septentrionalis,,Toxorhynchites rutilus septentrionalis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Toxorhynchites,,,,Toxorhynchites rutilus,Toxorhynchites rutilus septentrionalis,,,,,,
TOXRUT1,MOSQUITO,True,81364,Toxorhynchites rutilus,,Toxorhynchites rutilus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Toxorhynchites,,,,Toxorhynchites rutilus,,,,,,,
TOXRUT2,MOSQUITO,True,149340,Toxorhynchites rutilus rutilus,,Toxorhynchites rutilus rutilus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Toxorhynchites,,,,Toxorhynchites rutilus,Toxorhynchites rutilus rutilus,,,,,,
TOXSP,MOSQUITO,True,81206,Toxorhynchites,,Toxorhynchites spp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Toxorhynchites,,,,,,,,,,,
TOXSP1,MOSQUITO,True,89978,Toxorhynchitini,soilGreatGroup,Toxorhynchitini spp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,Toxorhynchitini,,,,,,,,,,,,,
TOXSP2,MOSQUITO,True,89977,Toxorhynchitinae,,Toxorhynchitinae spp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,Toxorhynchitinae,,,,,,,,,,,,
TOXSPL,MOSQUITO,True,81207,Toxorhynchites splendens,,Toxorhynchites splendens,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Toxorhynchites,,,,Toxorhynchites splendens,,,,,,,
URAANH,MOSQUITO,True,89968,Uranotaenia anhydor syntheta,,Uranotaenia anhydor syntheta,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Uranotaenia,,,,Uranotaenia anhydor,Uranotaenia anhydor syntheta,,,,,,
URAANH1,MOSQUITO,True,81368,Uranotaenia anhydor,,Uranotaenia anhydor,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Uranotaenia,,,,Uranotaenia anhydor,,,,,,,
URAANH2,MOSQUITO,True,141807,Uranotaenia anhydor anhydor,,Uranotaenia anhydor anhydor,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Uranotaenia,,,,Uranotaenia anhydor,Uranotaenia anhydor anhydor,,,,,,
URACOO,MOSQUITO,True,81371,Uranotaenia cooki,,Uranotaenia cooki,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Uranotaenia,,,,Uranotaenia cooki,,,,,,,
URALOW,MOSQUITO,True,81369,Uranotaenia lowii,,Uranotaenia lowii,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Uranotaenia,,,,Uranotaenia lowii,,,,,,,
URASAP,MOSQUITO,True,81372,Uranotaenia sapphirina,,Uranotaenia sapphirina,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Uranotaenia,,,,Uranotaenia sapphirina,,,,,,,
URASOC,MOSQUITO,True,81376,Uranotaenia socialis,,Uranotaenia socialis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Uranotaenia,,,,Uranotaenia socialis,,,,,,,
URASP,MOSQUITO,True,81367,Uranotaenia,,Uranotaenia spp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Uranotaenia,,,,,,,,,,,
URASP1,MOSQUITO,True,135254,Uranotaeniini,soilGreatGroup,Uranotaeniini sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,Culicinae,Uranotaeniini,,,,,,,,,,,,,
URASYN,MOSQUITO,True,81377,Uranotaenia syntheta,,Uranotaenia syntheta,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Uranotaenia,,,,Uranotaenia syntheta,,,,,,,
WYEMED,MOSQUITO,True,135295,Wyeomyia medioalbipes,,Wyeomyia medioalbipes,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Wyeomyia,Wyeomyia (Wyeomyia),,,Wyeomyia medioalbipes,,,,,,,
WYEMIT,MOSQUITO,True,81276,Wyeomyia mitchellii,,Wyeomyia mitchellii,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Wyeomyia,,,,Wyeomyia mitchellii,,,,,,,
WYESMI,MOSQUITO,True,81387,Wyeomyia smithii,,Wyeomyia smithii,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Wyeomyia,,,,Wyeomyia smithii,,,,,,,
WYESP,MOSQUITO,True,81275,Wyeomyia,,Wyeomyia spp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Wyeomyia,,,,,,,,,,,
WYESPE,MOSQUITO,True,135297,Wyeomyia splendida,,Wyeomyia splendida,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Wyeomyia,Wyeomyia (Phoniomyia),,,Wyeomyia splendida,,,,,,,
WYEVAN,MOSQUITO,True,81382,Wyeomyia vanduzeei,,Wyeomyia vanduzeei,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Wyeomyia,,,,Wyeomyia vanduzeei,,,,,,,
