neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
PTEANN,BEETLE,True,78593,Pterostichus annosus,,Pterostichus annosus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus annosus,,,,,,,
PTEARC1,BEETLE,True,78596,Pterostichus arcanus,,Pterostichus arcanus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus arcanus,,,,,,,
PTEARC2,BEETLE,True,78597,Pterostichus arcticola,,Pterostichus arcticola,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus arcticola,,,,,,,
PTEATR,BEETLE,True,78598,Pterostichus atratus,,Pterostichus atratus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Abacidus),,,Pterostichus atratus,,,,,,,
PTEAUR,BEETLE,True,78599,Pterostichus auriga,,Pterostichus auriga,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus auriga,,,,,,,
PTEBAL,BEETLE,True,78602,Pterostichus baldwini,,Pterostichus baldwini,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus baldwini,,,,,,,
PTEBAR,BEETLE,True,78604,Pterostichus barri,,Pterostichus barri,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Feronina),,,Pterostichus barri,,,,,,,
PTEBAR1,BEETLE,True,78603,Pterostichus barbarinus,,Pterostichus barbarinus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus barbarinus,,,,,,,
PTEBAR2,BEETLE,True,78605,Pterostichus barryorum,,Pterostichus barryorum,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus barryorum,,,,,,,
PTEBEY,BEETLE,True,78606,Pterostichus beyeri,,Pterostichus beyeri,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Leptoferonia),,,Pterostichus beyeri,,,,,,,
PTEBIO,BEETLE,True,78607,Pterostichus biocryus,,Pterostichus biocryus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,,,,Pterostichus biocryus,,,,,,,
PTEBLO,BEETLE,True,78608,Pterostichus blodgettensis,,Pterostichus blodgettensis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Leptoferonia),,,Pterostichus blodgettensis,,,,,,,
PTEBOU,BEETLE,True,78609,Pterostichus bousqueti,,Pterostichus bousqueti,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Pseudoferonina),,,Pterostichus bousqueti,,,,,,,
PTEBRA,BEETLE,True,78610,Pterostichus brachylobus,,Pterostichus brachylobus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus brachylobus,,,,,,,
PTEBRE,BEETLE,True,78613,Pterostichus breviusculus,,Pterostichus breviusculus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,,,,Pterostichus breviusculus,,,,,,,
PTEBRE1,BEETLE,True,89615,Pterostichus brevicornis brevicornis,,Pterostichus brevicornis brevicornis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus brevicornis,Pterostichus brevicornis brevicornis,,,,,,
PTEBRE2,BEETLE,True,78612,Pterostichus brevicornis,,Pterostichus brevicornis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus brevicornis,,,,,,,
PTEBRY1,BEETLE,True,89618,Pterostichus bryanti bryanti,,Pterostichus bryanti bryanti,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus bryanti,Pterostichus bryanti bryanti,,,,,,
PTEBRY2,BEETLE,True,89620,Pterostichus bryanti cacumenis,,Pterostichus bryanti cacumenis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus bryanti,Pterostichus bryanti cacumenis,,,,,,
PTEBRY3,BEETLE,True,89619,Pterostichus bryanti bryantoides,,Pterostichus bryanti bryantoides,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus bryanti,Pterostichus bryanti bryantoides,,,,,,
PTEBRY4,BEETLE,True,89617,Pterostichus bryanti biocryus,,Pterostichus bryanti biocryus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus bryanti,Pterostichus bryanti biocryus,,,,,,
PTEBRY5,BEETLE,True,78615,Pterostichus bryantoides,,Pterostichus bryantoides,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,,,,Pterostichus bryantoides,,,,,,,
PTEBRY6,BEETLE,True,89622,Pterostichus bryanti tiliaceoradix,,Pterostichus bryanti tiliaceoradix,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus bryanti,Pterostichus bryanti tiliaceoradix,,,,,,
PTEBRY7,BEETLE,True,78614,Pterostichus bryanti,,Pterostichus bryanti,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus bryanti,,,,,,,
PTEBRY8,BEETLE,True,89621,Pterostichus bryanti stantonensis,,Pterostichus bryanti stantonensis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Criobius),,,Pterostichus bryanti,Pterostichus bryanti stantonensis,,,,,,
PTECAC1,BEETLE,True,78617,Pterostichus cacumensis,,Pterostichus cacumensis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,,,,Pterostichus cacumensis,,,,,,,
PTECAL1,BEETLE,True,78618,Pterostichus californicus,,Pterostichus californicus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus californicus,,,,,,,
PTECAL2,BEETLE,True,78619,Pterostichus caligans,,Pterostichus caligans,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Leptoferonia),,,Pterostichus caligans,,,,,,,
PTECAM,BEETLE,True,78620,Pterostichus campbelli,,Pterostichus campbelli,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Pseudoferonina),,,Pterostichus campbelli,,,,,,,
PTECAN,BEETLE,True,78621,Pterostichus canallatus,,Pterostichus canallatus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Hypherpes),,,Pterostichus canallatus,,,,,,,
PTECAR,BEETLE,True,78623,Pterostichus carolinus,,Pterostichus carolinus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Pterostichus,Pterostichus (Monoferonia),,,Pterostichus carolinus,,,,,,,
