acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
CYRSCA,Reptilia,Gekkonidae,Cyrtopodion,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Squamata,Chordata,Cyrtopodion scabrum,Heyden,scabrum,,species,Rough-tailed Gecko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYRSCA,vertebrateBycatch,HERPETOLOGY
CYRTSP,Reptilia,Gekkonidae,Cyrtopodion,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Squamata,Chordata,Cyrtopodion sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYRTSP,vertebrateBycatch,HERPETOLOGY
DEIRET,Reptilia,Emydidae,Deirochelys,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Testudines,Chordata,Deirochelys reticularia,Latreille,reticularia,,species,Chicken Turtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEIRET,vertebrateBycatch,HERPETOLOGY
DEIRET2,Reptilia,Emydidae,Deirochelys,chrysea,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Testudines,Chordata,Deirochelys reticularia chrysea,Schwartz,reticularia,,subspecies,Florida Chicken Turtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEIRET2,vertebrateBycatch,HERPETOLOGY
DEIRET3,Reptilia,Emydidae,Deirochelys,miaria,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Testudines,Chordata,Deirochelys reticularia miaria,Schwartz,reticularia,,subspecies,Western Chicken Turtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEIRET3,vertebrateBycatch,HERPETOLOGY
DEIRET4,Reptilia,Emydidae,Deirochelys,reticularia,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Testudines,Chordata,Deirochelys reticularia reticularia,Latreille,reticularia,,subspecies,Eastern Chicken Turtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEIRET4,vertebrateBycatch,HERPETOLOGY
DEIRSP,Reptilia,Emydidae,Deirochelys,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Testudines,Chordata,Deirochelys sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEIRSP,vertebrateBycatch,HERPETOLOGY
DENAUR,Amphibia,Dendrobatidae,Dendrobates,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Anura,Chordata,Dendrobates auratus,Girard,auratus,,species,Green-and-black Poison Dart Frog,,,,,,,,,,,,Dendrobatinae,,,,,,,,,,,,,,,,,DENAUR,vertebrateBycatch,HERPETOLOGY
DENDSP,Amphibia,Dendrobatidae,,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Anura,Chordata,Dendrobatidae sp.,Cope,sp.,,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DENDSP,vertebrateBycatch,HERPETOLOGY
DENDSP1,Amphibia,Dendrobatidae,Dendrobates,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Anura,Chordata,Dendrobates sp.,,sp.,,genus,,,,,,,,,,,,,Dendrobatinae,,,,,,,,,,,,,,,,,DENDSP1,vertebrateBycatch,HERPETOLOGY
