neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
DESMSP,HERPETOLOGY,True,79991,Desmognathus,,Desmognathus sp.,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,,,,,,,,
DESOCH,HERPETOLOGY,True,80004,Desmognathus ochrophaeus,,Desmognathus ochrophaeus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,Desmognathus ochrophaeus,,,,,,,
DESOCO,HERPETOLOGY,True,80005,Desmognathus ocoee,,Desmognathus ocoee,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,Desmognathus ocoee,,,,,,,
DESORE,HERPETOLOGY,True,80006,Desmognathus orestes,,Desmognathus orestes,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,Desmognathus orestes,,,,,,,
DESORG,HERPETOLOGY,True,88408,Desmognathus organi,,Desmognathus organi,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,Desmognathus organi,,,,,,,
DESPLA,HERPETOLOGY,True,80007,Desmognathus planiceps,,Desmognathus planiceps,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,Desmognathus planiceps,,,,,,,
DESQUA,HERPETOLOGY,True,80008,Desmognathus quadramaculatus,,Desmognathus quadramaculatus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,Desmognathus quadramaculatus,,,,,,,
DESSAN,HERPETOLOGY,True,80009,Desmognathus santeetlah,,Desmognathus santeetlah,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,Desmognathus santeetlah,,,,,,,
DESWEL,HERPETOLOGY,True,80010,Desmognathus welteri,,Desmognathus welteri,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,Desmognathus welteri,,,,,,,
DESWRI,HERPETOLOGY,True,80011,Desmognathus wrighti,,Desmognathus wrighti,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Caudata,,,Plethodontidae,,,,Desmognathus,,,,Desmognathus wrighti,,,,,,,
DIADSP,HERPETOLOGY,True,80012,Diadophis,,Diadophis sp.,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Dipsadidae,,,,Diadophis,,,,,,,,,,,
