acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
ACHROS,Bacillariophyceae,Achnanthidiaceae,Achnanthidium,,Chromista,"www.algaebase.org/search/species/detail/?species_id=136797 (accessed June 10, 2020)","Krammer, K. & Lange-Bertalot, H. (2004). Bacillariophyceae 4. Teil: Achnanthaceae, Kritische Erganzungen zu Navicula (Lineolatae), Gomphonema. Gesamtliteraturverzeichnis Teil 1-4 [second revised edition] [With \\\""Ergänzungen und Revisionen\\\"" by H. Lange Bertalot]. In: Süßwasserflora von Mitteleuropa. (Ettl, H. et al. Eds) Vol. 2, pp. 1-468. Heidelberg: Spektrum Akademischer Verlag.",Pennales,,Achnanthidium rosenstockii (Lange-Bertalot) Lange-Bertalot,(Lange-Bertalot) Lange-Bertalot,rosenstockii,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHROS,Diatom,ALGAE
ACHSUB,Bacillariophyceae,Achnanthidiaceae,Achnanthidium,,Chromista,"Fourtanier, E. & Kociolek, J. P. (compilers). (2011). Catalogue of Diatom Names. California Academy of Sciences, On-line Version. Updated 2011-09-19., available online at http://researcharchive.calacademy.org/research/diatoms/names/index.asp","Kobayashi, H., Idei, M., Mayama, S., Nagumo, T. & Osada, K. (2006). Kobayashi hiromu keiso zukan. H.Kobayasi's atlas of Japanese diatoms based on electron microscopy. dai 1kan. pp. [1]-531, 180 pls. Tokyo: Uchida Rokakuho Publishing Co., Ltd.",Pennales,,Achnanthidium subhudsonis (Hustedt) H.Kobayasi,(Hustedt) H.Kobayasi,subhudsonis,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHSUB,Diatom,ALGAE
ACHSUB1,Bacillariophyceae,Achnanthidiaceae,Achnanthidium,var. kraeueselii,Chromista,"Spaulding, S., Potapova, M. (2014). Achnanthidium subhudsonis var. kraeuselii. In Diatoms of North America. Retrieved December 11, 2019, from https://diatoms.org/species/achnanthidium_subhudsonis_var._kraeuselii","Kusber, W.-H., Cantonati, M. & Lange-Bertalot, H. (2017). Validation of five diatom novelties published in Freshwater Benthic Diatoms of Central Europe and taxonomic treatment of the neglected species Tryblionella hantzschiana. Phytotaxa 328(1): 90-94, 3 figs.",Pennales,,Achnanthidium subhudsonis var. kraeueselii (Cholnoky) Cantonati & Lange-Bertalot,(Cholnoky) Cantonati & Lange-Bertalot,subhudsonis,,variety,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,kraeueselii,,ACHSUB1,Diatom,ALGAE
ACHSUB2,Bacillariophyceae,Achnanthidiaceae,Achnanthidium,,Chromista,"www.algaebase.org/search/species/detail/?species_id=143460 (accessed June 10, 2020)","Monnier, O., Lange-Bertalot, H., Hoffmann, L. & Ector, L. (2007). The genera Achnanthidium Kützing and Psammothidium Bukhtiyarova & Round in the family Achnanthidiaceae (Bacillariophyceae): a reappraisal of the differential criteria. Cryptogamie, Algologie 28(2): 141-158.",Pennales,,"Achnanthidium subatomoides (Hustedt) O. Monnier, Lange-Bertalot & Ector","(Hustedt) O. Monnier, Lange-Bertalot & Ector",subatomoides,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHSUB2,Diatom,ALGAE
ACRSP,Florideophyceae,,,,Plantae,www.algaebase.org/browse/taxonomy/?id=4618 (accessed 3/26/20),"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2020. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 26 March 2020.",,,Acrochaetiales sp.,,sp.,,order,,Rhodophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACRSP,Red Algae,ALGAE
ACRSP1,Florideophyceae,,,,Plantae,www.algaebase.org/browse/taxonomy/?id=5221 (accessed 3/26/20),"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2020. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 26 March 2020.",Acrochaetiales,,Acrochaetiaceae sp.,,sp.,,family,,Rhodophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACRSP1,Red Algae,ALGAE
ACRSPP,Florideophyceae,,,,Plantae,www.algaebase.org/browse/taxonomy/?id=4618 (accessed 3/26/20),"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2020. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 26 March 2020.",,,Acrochaetiales spp.,,spp.,,order,,Rhodophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACRSPP,Red Algae,ALGAE
ACRSPP1,Florideophyceae,,,,Plantae,www.algaebase.org/browse/taxonomy/?id=5221 (accessed 3/26/20),"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2020. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 26 March 2020.",Acrochaetiales,,Acrochaetiaceae spp.,,spp.,,family,,Rhodophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACRSPP1,Red Algae,ALGAE
ACTINASTRUMSP,Chlorophyceae,Scenedesmaceae,Actinastrum,,Plantae,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Chlorococcales,,Actinastrum sp.,,sp.,,genus,,Chlorophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTINASTRUMSP,Green Algae,ALGAE
ACTINASTRUMSPP,Chlorophyceae,Scenedesmaceae,Actinastrum,,Plantae,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Chlorococcales,,Actinastrum spp.,,spp.,,genus,,Chlorophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTINASTRUMSPP,Green Algae,ALGAE
ACTINELLASP,Bacillariophyceae,Eunotiaceae,Actinella,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Actinella sp.,,sp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTINELLASP,Diatom,ALGAE
ACTINELLASPP,Bacillariophyceae,Eunotiaceae,Actinella,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Actinella spp.,,spp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTINELLASPP,Diatom,ALGAE
ACTINOCYCLUSSPP,Bacillariophyceae,Hemidiscaceae,Actinocyclus,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Centrales,,Actinocyclus spp.,,spp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTINOCYCLUSSPP,Diatom,ALGAE
ACTINOPTYCHUSSP,Bacillariophyceae,Heliopeltaceae,Actinoptychus,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Centrales,,Actinoptychus sp.,,sp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTINOPTYCHUSSP,Diatom,ALGAE
ACTINOPTYCHUSSPP,Bacillariophyceae,Heliopeltaceae,Actinoptychus,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Centrales,,Actinoptychus spp.,,spp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTINOPTYCHUSSPP,Diatom,ALGAE
ACTINOTAENIUMSPP,Chlorophyceae,Desmidiaceae,Actinotaenium,,Plantae,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Desmidiales,,Actinotaenium spp.,,spp.,,genus,,Chlorophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTINOTAENIUMSPP,Green Algae,ALGAE
ADLAFIASPP,Bacillariophyceae,Naviculaceae,Adlafia,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Adlafia spp.,,spp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADLAFIASPP,Diatom,ALGAE
