acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
AEDMER,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes ater,Gutsevich,ater,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDATE,target,MOSQUITO
AEDATL,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes atlanticus,"Dyar and Knab, 1906",atlanticus,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDATL,target,MOSQUITO
AEDATR,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes atropalpus,"(Coquillett, 1902)",atropalpus,Georgecraigius,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDATR,target,MOSQUITO
AEDAUR,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aurifer,"(Coquillett, 1903)",aurifer,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDAUR,target,MOSQUITO
AEDBAH,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes bahamensis,"Berlin, 1969",bahamensis,Howardina,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDBAH,target,MOSQUITO
AEDTOR1,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes balteatus,Dyar & Knab,balteatus,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDBAL,target,MOSQUITO
AEDEUE,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes barri,"Rueger, 1958",barri,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDBAR,target,MOSQUITO
AEDBIC,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes bicristatus,"Thurman and Winkler, 1950",bicristatus,Rusticoidus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDBIC,target,MOSQUITO
AEDBIM,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes bimaculatus,"(Coquillett, 1902)",bimaculatus,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDBIM,target,MOSQUITO
AEDBRE,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes brelandi,"Zavortink, 1972",brelandi,Protomacleaya,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDBRE,target,MOSQUITO
AEDBUR,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes burgeri,"Zavortink, 1972",burgeri,Protomacleaya,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDBUR,target,MOSQUITO
AEDVEN,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes cacothius,"Dyar, 1923",cacothius,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDCAC,target,MOSQUITO
AEDCAM,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes callithotrys,"Dyar, 1920",callithotrys,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDCAL,target,MOSQUITO
AEDCAM,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes campestris,"Dyar and Knab, 1907",campestris,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDCAM,target,MOSQUITO
AEDSCA,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes camposanus,Dyar,camposanus,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDCAM1,target,MOSQUITO
AEDCAN,Insecta,Culicidae,Aedes,mathesoni,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes canadensis mathesoni,"Middlekauff, 1944",canadensis,,subspecies,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDCAN,target,MOSQUITO
AEDCAN1,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes cantator,"(Coquillett, 1903)",cantator,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDCAN1,target,MOSQUITO
AEDCAN2,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes canadensis,"(Theobald, 1901)",canadensis,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDCAN2,target,MOSQUITO
