acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
WHOS,Aves,Anatidae,Cygnus,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Anseriformes,Chordata,Cygnus cygnus,(Linnaeus),cygnus,,species,Whooper Swan,,,,,Deuterostomia,,Gnathostomata,,,,,Anserinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WHOS,other,BIRD
WHSO,Aves,Strigidae,Megascops,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Strigiformes,Chordata,Megascops trichopsis,(Wagler),trichopsis,,species,Whiskered Screech-Owl,,,,,Deuterostomia,,Gnathostomata,,,,,Striginae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WHSO,other,BIRD
WHST,Aves,Laridae,Chlidonias,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Charadriiformes,Chordata,Chlidonias hybrida,(Pallas),hybrida,,species,Whiskered Tern,,,,,Deuterostomia,,Gnathostomata,,,,,Sterninae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WHST,other,BIRD
WHTT,Aves,Laridae,Gygis,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Charadriiformes,Chordata,Gygis alba,(Sparrman),alba,,species,White Tern,,,,,Deuterostomia,,Gnathostomata,,,,,Sterninae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WHTT,other,BIRD
WHWA,Aves,Motacillidae,Motacilla,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Passeriformes,Chordata,Motacilla alba,Linnaeus,alba,,species,White Wagtail,,,,,Deuterostomia,,Gnathostomata,,,,,,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WHWA,landbird,BIRD
WHWO,Aves,Picidae,Picoides,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Piciformes,Chordata,Picoides albolarvatus,(Cassin),albolarvatus,,species,White-headed Woodpecker,,,,,Deuterostomia,,Gnathostomata,,,,,Picinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WHWO,landbird,BIRD
WHWR,Aves,Troglodytidae,Campylorhynchus,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Passeriformes,Chordata,Campylorhynchus albobrunneus,(Lawrence),albobrunneus,,species,White-headed Wren,,,,,Deuterostomia,,Gnathostomata,,,,,,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WHWR,landbird,BIRD
WIFL,Aves,Tyrannidae,Empidonax,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Passeriformes,Chordata,Empidonax traillii,(Audubon),traillii,,species,Willow Flycatcher,,,,,Deuterostomia,,Gnathostomata,,,,,Fluvicolinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WIFL,landbird,BIRD
WILL,Aves,Scolopacidae,Tringa,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Charadriiformes,Chordata,Tringa semipalmata,(Gmelin),semipalmata,,species,Willet,,,,,Deuterostomia,,Gnathostomata,,,,,Scolopacinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WILL,other,BIRD
WILW,Aves,Phylloscopidae,Phylloscopus,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Passeriformes,Chordata,Phylloscopus trochilus,(Linnaeus),trochilus,,species,Willow Warbler,,,,,Deuterostomia,,Gnathostomata,,,,,,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WILW,landbird,BIRD
WIPH,Aves,Scolopacidae,Phalaropus,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Charadriiformes,Chordata,Phalaropus tricolor,(Vieillot),tricolor,,species,Wilson's Phalarope,,,,,Deuterostomia,,Gnathostomata,,,,,Phalaropodinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WIPH,other,BIRD
WIPL,Aves,Charadriidae,Charadrius,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Charadriiformes,Chordata,Charadrius wilsonia,Ord,wilsonia,,species,Wilson's Plover,,,,,Deuterostomia,,Gnathostomata,,,,,Charadriinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WIPL,other,BIRD
WIPT,Aves,Phasianidae,Lagopus,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Galliformes,Chordata,Lagopus lagopus,(Linnaeus),lagopus,,species,Willow Ptarmigan,,,,,Deuterostomia,,Gnathostomata,,,,,Tetraoninae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,WIPT,landbird,BIRD
