('family', 'amaranthaceae', 'genus', 'aphanisma')
('family', 'amaranthaceae', 'genus', 'atriplex')
('family', 'amaranthaceae', 'genus', 'axyris')
('family', 'amaranthaceae', 'genus', 'bassia')
('family', 'amaranthaceae', 'genus', 'beta')
('family', 'amaranthaceae', 'genus', 'blitum')
('family', 'amaranthaceae', 'genus', 'chenopodium')
('family', 'amaranthaceae', 'genus', 'corispermum')
('family', 'amaranthaceae', 'genus', 'cycloloma')
('family', 'amaranthaceae', 'genus', 'dysphania')
('family', 'amaranthaceae', 'genus', 'enchylaena')
('family', 'amaranthaceae', 'genus', 'endolepis')
('family', 'amaranthaceae', 'genus', 'extriplex')
('family', 'amaranthaceae', 'genus', 'girgensohnia')
('family', 'amaranthaceae', 'genus', 'grayia')
('family', 'amaranthaceae', 'genus', 'halogeton')
('family', 'amaranthaceae', 'genus', 'kochia')
('family', 'amaranthaceae', 'genus', 'krascheninnikovia')
('family', 'amaranthaceae', 'genus', 'monolepis')
('family', 'amaranthaceae', 'genus', 'neokochia')
('family', 'amaranthaceae', 'genus', 'nitrophila')
('family', 'amaranthaceae', 'genus', 'polycnemum')
('family', 'amaranthaceae', 'genus', 'proatriplex')
('family', 'amaranthaceae', 'genus', 'salicornia')
('family', 'amaranthaceae', 'genus', 'salsola')
('family', 'amaranthaceae', 'genus', 'spinacia')
('family', 'amaranthaceae', 'genus', 'suaeda')
('family', 'amaranthaceae', 'genus', 'suckleya')
('family', 'amaryllidaceae', 'genus', 'agapanthus')
('family', 'amaryllidaceae', 'genus', 'allium')
('family', 'amaryllidaceae', 'genus', 'amaryllis')
('family', 'amaryllidaceae', 'genus', 'crinum')
('family', 'amaryllidaceae', 'genus', 'eucharis')
('family', 'amaryllidaceae', 'genus', 'galanthus')
('family', 'amaryllidaceae', 'genus', 'habranthus')
('family', 'amaryllidaceae', 'genus', 'hippeastrum')
('family', 'amaryllidaceae', 'genus', 'hymenocallis')
('family', 'amaryllidaceae', 'genus', 'ipheion')
('family', 'amaryllidaceae', 'genus', 'leucojum')
('family', 'amaryllidaceae', 'genus', 'lycoris')
('family', 'amaryllidaceae', 'genus', 'narcissus')
('family', 'amaryllidaceae', 'genus', 'nothoscordum')
('family', 'amaryllidaceae', 'genus', 'pancratium')
('family', 'amaryllidaceae', 'genus', 'sternbergia')
('family', 'amaryllidaceae', 'genus', 'tristagma')
('family', 'amaryllidaceae', 'genus', 'zephyranthes')
('family', 'amblystegiaceae', 'genus', 'campylophyllum')
('family', 'amblystegiaceae', 'genus', 'leptoglottis')
('family', 'amblystegiaceae', 'genus', 'myurella')
('family', 'ampharetidae', 'genus', 'hobsonia')
('family', 'anacampserotaceae', 'genus', 'talinopsis')
('family', 'anastrophyllaceae', 'genus', 'anastrepta')
('family', 'anastrophyllaceae', 'genus', 'barbilophozia')
('family', 'anastrophyllaceae', 'genus', 'gymnocolea')
('family', 'anastrophyllaceae', 'genus', 'sphenolobopsis')
('family', 'anastrophyllaceae', 'genus', 'tetralophozia')
('family', 'annonaceae', 'genus', 'aspalthium')
('family', 'anthocerotaceae', 'genus', 'aspiromitus')
('family', 'anthocerotaceae', 'genus', 'carpoceros')
('family', 'anthocerotaceae', 'genus', 'sphaerosporoceros')
('family', 'apiaceae', 'genus', 'aulospermum')
('family', 'apiaceae', 'genus', 'bellia')
('family', 'apiaceae', 'genus', 'coriflora')
('family', 'apiaceae', 'genus', 'harperella')
('family', 'apiaceae', 'genus', 'helosciadium')
('family', 'apiaceae', 'genus', 'rhysopterus')
('family', 'apiaceae', 'genus', 'tiedemannia')
('family', 'apiaceae', 'genus', 'visnaga')
('family', 'apocynaceae', 'genus', 'araujia')
('family', 'apocynaceae', 'genus', 'asclepias')
('family', 'apocynaceae', 'genus', 'calotropis')
('family', 'apocynaceae', 'genus', 'cascabela')
('family', 'apocynaceae', 'genus', 'cryptostegia')
('family', 'apocynaceae', 'genus', 'cynanchum')
('family', 'apocynaceae', 'genus', 'duvalia')
('family', 'apocynaceae', 'genus', 'funastrum')
('family', 'apocynaceae', 'genus', 'gomphocarpus')
('family', 'apocynaceae', 'genus', 'gonolobus')
('family', 'apocynaceae', 'genus', 'hoya')
('family', 'apocynaceae', 'genus', 'ibatia')
('family', 'apocynaceae', 'genus', 'marsdenia')
('family', 'apocynaceae', 'genus', 'matelea')
('family', 'apocynaceae', 'genus', 'metaplexis')
('family', 'apocynaceae', 'genus', 'metastelma')
('family', 'apocynaceae', 'genus', 'morrenia')
('family', 'apocynaceae', 'genus', 'oxypetalum')
('family', 'apocynaceae', 'genus', 'periploca')
('family', 'apocynaceae', 'genus', 'stapelia')
('family', 'apocynaceae', 'genus', 'thyrsanthella')
('family', 'apocynaceae', 'genus', 'vincetoxicum')
('family', 'apodanthaceae', 'genus', 'pilostyles')
('family', 'araceae', 'genus', 'colocynthis')
('family', 'araceae', 'genus', 'landoltia')
('family', 'araceae', 'genus', 'lemna')
('family', 'araceae', 'genus', 'peltapteris')
('family', 'araceae', 'genus', 'spirodela')
('family', 'araceae', 'genus', 'wolffia')
('family', 'araceae', 'genus', 'wolffiella')
('family', 'araceae', 'genus', 'xanthoxalis')
('family', 'arcticidae', 'genus', 'arctica')
('family', 'arthoniaceae', 'genus', 'arthothelium')
('family', 'arthoniaceae', 'genus', 'celidium')
('family', 'arthoniaceae', 'genus', 'herpothallon')
('family', 'arthoniaceae', 'genus', 'thrombium')
('family', 'arthoniaceae', 'genus', 'tylophoron')
('family', 'asparagaceae', 'genus', 'agave')
('family', 'asparagaceae', 'genus', 'androstephium')
('family', 'asparagaceae', 'genus', 'asparagus')
('family', 'asparagaceae', 'genus', 'bloomeria')
('family', 'asparagaceae', 'genus', 'brodiaea')
('family', 'asparagaceae', 'genus', 'camassia')
('family', 'asparagaceae', 'genus', 'chlorogalum')
('family', 'asparagaceae', 'genus', 'chlorophytum')
('family', 'asparagaceae', 'genus', 'convallaria')
('family', 'asparagaceae', 'genus', 'cordyline')
('family', 'asparagaceae', 'genus', 'dasylirion')
('family', 'asparagaceae', 'genus', 'dichelostemma')
('family', 'asparagaceae', 'genus', 'dracaena')
('family', 'asparagaceae', 'genus', 'echeandia')
('family', 'asparagaceae', 'genus', 'eremocrinum')
('family', 'asparagaceae', 'genus', 'furcraea')
('family', 'asparagaceae', 'genus', 'hastingsia')
('family', 'asparagaceae', 'genus', 'hesperaloe')
('family', 'asparagaceae', 'genus', 'hesperocallis')
('family', 'asparagaceae', 'genus', 'hesperoyucca')
