neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
MUGLIZ,FISH,True,92275,Mugil liza,,Mugil liza,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Mugiliformes,,,Mugilidae,,,,Mugil,,,,Mugil liza,,,,,,,
MUGSP,FISH,True,92272,Mugil,,Mugil sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Mugiliformes,,,Mugilidae,,,,Mugil,,,,,,,,,,,
MUGSP1,FISH,True,91321,Mugilidae,Class,Mugilidae sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Mugiliformes,,,Mugilidae,,,,,,,,,,,,,,,
MUGSP2,FISH,True,91320,Mugiliformes,Subgenus,Mugiliformes sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Mugiliformes,,,,,,,,,,,,,,,,,,
MUGSPP,FISH,True,92272,Mugil,,Mugil spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Mugiliformes,,,Mugilidae,,,,Mugil,,,,,,,,,,,
MUGSPP1,FISH,True,91321,Mugilidae,Class,Mugilidae spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Mugiliformes,,,Mugilidae,,,,,,,,,,,,,,,
MUGSPP2,FISH,True,91320,Mugiliformes,Subgenus,Mugiliformes spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Mugiliformes,,,,,,,,,,,,,,,,,,
MYLCAU,FISH,True,92277,Mylocheilus caurinus,,Mylocheilus caurinus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Mylocheilus,,,,Mylocheilus caurinus,,,,,,,
MYLCON,FISH,True,92279,Mylopharodon conocephalus,,Mylopharodon conocephalus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Mylopharodon,,,,Mylopharodon conocephalus,,,,,,,
MYLPIC,FISH,True,92281,Mylopharyngodon piceus,,Mylopharyngodon piceus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Mylopharyngodon,,,,Mylopharyngodon piceus,,,,,,,
MYLSP,FISH,True,92276,Mylocheilus,,Mylocheilus sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Mylocheilus,,,,,,,,,,,
MYLSP1,FISH,True,92278,Mylopharodon,,Mylopharodon sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Mylopharodon,,,,,,,,,,,
MYLSP2,FISH,True,92280,Mylopharyngodon,,Mylopharyngodon sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Mylopharyngodon,,,,,,,,,,,
MYLSP3,FISH,True,91683,Myliobatiformes,Subgenus,Myliobatiformes sp.,Organism,Animalia,,Chordata,Vertebrata,,Elasmobranchii,,Myliobatiformes,,,,,,,,,,,,,,,,,,
MYLSPP,FISH,True,92276,Mylocheilus,,Mylocheilus spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Mylocheilus,,,,,,,,,,,
MYLSPP1,FISH,True,92278,Mylopharodon,,Mylopharodon spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Mylopharodon,,,,,,,,,,,
MYLSPP2,FISH,True,92280,Mylopharyngodon,,Mylopharyngodon spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Mylopharyngodon,,,,,,,,,,,
MYLSPP3,FISH,True,91683,Myliobatiformes,Subgenus,Myliobatiformes spp.,Organism,Animalia,,Chordata,Vertebrata,,Elasmobranchii,,Myliobatiformes,,,,,,,,,,,,,,,,,,
MYOQUA,FISH,True,92283,Myoxocephalus quadricornis,,Myoxocephalus quadricornis,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Scorpaeniformes,,,Cottidae,,,,Myoxocephalus,,,,Myoxocephalus quadricornis,,,,,,,
MYOSP,FISH,True,92282,Myoxocephalus,,Myoxocephalus sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Scorpaeniformes,,,Cottidae,,,,Myoxocephalus,,,,,,,,,,,
MYOSPP,FISH,True,92282,Myoxocephalus,,Myoxocephalus spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Scorpaeniformes,,,Cottidae,,,,Myoxocephalus,,,,,,,,,,,
MYOTHO,FISH,True,92284,Myoxocephalus thompsonii,,Myoxocephalus thompsonii,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Scorpaeniformes,,,Cottidae,,,,Myoxocephalus,,,,Myoxocephalus thompsonii,,,,,,,
NEOMEL,FISH,True,92286,Neogobius melanostomus,,Neogobius melanostomus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Gobiidae,,,,Neogobius,,,,Neogobius melanostomus,,,,,,,
NEOSP,FISH,True,92285,Neogobius,,Neogobius sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Gobiidae,,,,Neogobius,,,,,,,,,,,
NEOSPP,FISH,True,92285,Neogobius,,Neogobius spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Gobiidae,,,,Neogobius,,,,,,,,,,,
NOCASP,FISH,True,92288,Nocomis asper,,Nocomis asper,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Nocomis,,,,Nocomis asper,,,,,,,
NOCBIG,FISH,True,92289,Nocomis biguttatus,,Nocomis biguttatus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Nocomis,,,,Nocomis biguttatus,,,,,,,
NOCEFF,FISH,True,92290,Nocomis effusus,,Nocomis effusus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Nocomis,,,,Nocomis effusus,,,,,,,
NOCLEP,FISH,True,92291,Nocomis leptocephalus,,Nocomis leptocephalus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Nocomis,,,,Nocomis leptocephalus,,,,,,,
NOCMIC,FISH,True,92292,Nocomis micropogon,,Nocomis micropogon,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Nocomis,,,,Nocomis micropogon,,,,,,,
NOCPLA,FISH,True,92293,Nocomis platyrhynchus,,Nocomis platyrhynchus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Nocomis,,,,Nocomis platyrhynchus,,,,,,,
NOCRAN,FISH,True,92294,Nocomis raneyi,,Nocomis raneyi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Nocomis,,,,Nocomis raneyi,,,,,,,
NOCSP,FISH,True,92287,Nocomis,,Nocomis sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Nocomis,,,,,,,,,,,
NOCSPP,FISH,True,92287,Nocomis,,Nocomis spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Nocomis,,,,,,,,,,,
NOTALB,FISH,True,92302,Notropis albizonatus,,Notropis albizonatus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis albizonatus,,,,,,,
NOTALB1,FISH,True,92303,Notropis alborus,,Notropis alborus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis alborus,,,,,,,
NOTALB2,FISH,True,92381,Noturus albater,,Noturus albater,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Siluriformes,,,Ictaluridae,,,,Noturus,,,,Noturus albater,,,,,,,
NOTALT,FISH,True,92304,Notropis altipinnis,,Notropis altipinnis,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis altipinnis,,,,,,,
NOTAMA,FISH,True,92305,Notropis amabilis,,Notropis amabilis,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis amabilis,,,,,,,
NOTAMM,FISH,True,92306,Notropis ammophilus,,Notropis ammophilus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis ammophilus,,,,,,,
NOTAMO,FISH,True,92307,Notropis amoenus,,Notropis amoenus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis amoenus,,,,,,,
NOTANO,FISH,True,92308,Notropis anogenus,,Notropis anogenus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis anogenus,,,,,,,
NOTAQU,FISH,True,92298,Nothonotus aquali,,Nothonotus aquali,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Percidae,,,,Nothonotus,,,,Nothonotus aquali,,,,,,,
NOTARI,FISH,True,92309,Notropis ariommus,,Notropis ariommus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis ariommus,,,,,,,
NOTASP,FISH,True,92310,Notropis asperifrons,,Notropis asperifrons,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis asperifrons,,,,,,,
NOTATH,FISH,True,92311,Notropis atherinoides,,Notropis atherinoides,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis atherinoides,,,,,,,
NOTATR,FISH,True,92312,Notropis atrocaudalis,,Notropis atrocaudalis,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis atrocaudalis,,,,,,,
NOTBAI,FISH,True,92313,Notropis baileyi,,Notropis baileyi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis baileyi,,,,,,,
NOTBAI1,FISH,True,92314,Notropis bairdi,,Notropis bairdi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Cypriniformes,,,Cyprinidae,,,,Notropis,,,,Notropis bairdi,,,,,,,
