neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
NEONDREX438017,ALGAE,True,148026,Micrasterias novae-terrae,,Micrasterias novae-terrae (Cushman) Krieger,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias novae-terrae,,,,,,,
NEONDREX438018,ALGAE,True,130660,Micrasterias muricata,,Micrasterias muricata (Bailey) Ralfs,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias muricata,,,,,,,
NEONDREX438019,ALGAE,True,140294,Micrasterias mahabuleshwarensis,,Micrasterias mahabuleshwarensis Hobson,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias mahabuleshwarensis,,,,,,,
NEONDREX438020,ALGAE,True,140297,Micrasterias radiosa var. ornata,,Micrasterias radiosa var. ornata Nordstedt,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias radiosa,,Micrasterias radiosa var. ornata,,,,,
NEONDREX438021,ALGAE,True,130642,Micrasterias arcuata,,Micrasterias arcuata Bailey,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias arcuata,,,,,,,
NEONDREX438022,ALGAE,True,130645,Micrasterias arcuata var. expansa,,Micrasterias arcuata var. expansa (Bailey) Nordstedt,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias arcuata,,Micrasterias arcuata var. expansa,,,,,
NEONDREX438023,ALGAE,True,130651,Micrasterias denticulata,,Micrasterias denticulata Brébisson ex Ralfs,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias denticulata,,,,,,,
NEONDREX438024,ALGAE,True,140295,Micrasterias oscitans,,Micrasterias oscitans (Kützing) Ralfs,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias oscitans,,,,,,,
NEONDREX438025,ALGAE,True,148028,Micrasterias radiosa var. elegantior,,Micrasterias radiosa var. elegantior (G.S. West) Croasdale,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias radiosa,,Micrasterias radiosa var. elegantior,,,,,
NEONDREX438028,ALGAE,True,130648,Micrasterias arcuata var. gracilis,,Micrasterias arcuata var. gracilis (Bailey) West & West,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Micrasterias,,,,Micrasterias arcuata,,Micrasterias arcuata var. gracilis,,,,,
